,id,player_id,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved
0,1,675,2,7,5,2,0,0,0
1,2,676,7,17,10,0,1,1,0
2,3,677,5,9,4,0,0,0,0
3,4,678,1,5,4,0,0,0,0
4,5,679,7,15,8,0,0,0,0
5,6,680,3,7,5,3,0,0,0
6,7,681,6,17,11,1,0,0,0
7,8,682,2,11,8,2,1,0,1
8,9,683,1,10,9,2,0,0,0
9,10,684,1,3,2,0,0,0,0
10,11,685,3,12,9,1,0,0,0
11,12,686,3,4,1,1,1,1,0
12,13,687,4,19,15,0,1,1,0
13,14,688,1,5,4,0,0,0,0
14,15,689,6,10,4,1,0,0,0
15,16,690,2,4,2,0,0,0,0
16,17,691,6,29,23,2,1,1,0
17,18,692,4,14,10,1,3,2,0
18,19,693,1,3,2,0,0,0,0
19,20,694,5,8,4,3,0,0,0
20,21,695,7,14,7,0,0,0,0
21,22,696,8,24,16,0,0,0,0
22,23,697,0,3,3,1,0,0,0
23,24,698,11,22,11,1,1,1,0
24,25,699,5,13,8,0,0,0,0
25,26,700,4,22,18,2,1,1,0
26,27,701,3,6,2,1,1,0,1
27,28,702,1,3,2,0,0,0,0
28,29,703,5,19,14,0,1,1,0
29,30,704,4,11,7,3,1,1,0
30,31,705,2,7,4,2,2,1,1
31,32,706,6,18,12,2,0,0,0
32,33,707,3,11,8,1,0,0,0
33,34,708,8,19,11,1,1,1,0
34,35,709,2,3,1,0,1,1,0
35,36,710,3,9,6,2,0,0,0
36,37,711,7,19,12,1,0,0,0
37,38,712,5,28,21,2,2,0,2
38,39,713,4,12,8,2,1,1,0
39,40,714,5,9,4,0,0,0,0
40,41,715,0,0,0,0,0,0,0
